cycle,dom_a,npts_a,mass_a,dom_b,npts_b,mass_b,chosen
2,,0,0.0,,0,0.0,
3,,0,0.0,,0,0.0,
4,,0,0.0,0.3082077051926298,3,0.6,
5,0.33668341708542715,4,0.6666666666666666,0.30904522613065327,4,0.6666666666666666,0.32286432160804024
6,0.33668341708542715,4,0.5714285714285714,0.30904522613065327,4,0.5714285714285714,0.32286432160804024
7,0.33668341708542715,4,0.5,0.32060301507537686,5,0.625,0.32864321608040203
8,0.33668341708542715,4,0.4444444444444444,0.32060301507537686,5,0.5555555555555556,0.32864321608040203
9,0.33668341708542715,4,0.4,0.32060301507537686,5,0.5,0.32864321608040203
10,0.328643216080402,5,0.45454545454545453,0.3333333333333333,6,0.5454545454545454,0.33098827470686765
11,0.328643216080402,5,0.4166666666666667,0.3333333333333333,6,0.5,0.33098827470686765
12,0.38693467336683424,10,0.7692307692307693,0.3333333333333333,6,0.46153846153846156,
13,0.4001827318410234,11,0.7857142857142857,0.34816941852117733,7,0.5,
14,0.3911222780569515,12,0.8,0.34816941852117733,7,0.4666666666666667,
15,0.3884808658678006,13,0.8125,0.34816941852117733,7,0.4375,
16,0.39877961234745163,14,0.8235294117647058,0.34816941852117733,7,0.4117647058823529,
17,0.40234505862646575,15,0.8333333333333334,0.3442211055276382,8,0.4444444444444444,
18,0.40234505862646575,15,0.7894736842105263,0.3442211055276382,8,0.42105263157894735,
19,0.40234505862646575,15,0.75,0.3442211055276382,8,0.4,
20,0.40234505862646575,15,0.7142857142857143,0.35343383584589616,9,0.42857142857142855,
21,0.40734924623115576,16,0.7272727272727273,0.35343383584589616,9,0.4090909090909091,
22,0.40734924623115576,16,0.6956521739130435,0.35343383584589616,9,0.391304347826087,
23,0.4055571977534733,17,0.7083333333333334,0.8326633165829145,10,0.4166666666666667,
24,0.4020100502512563,18,0.72,0.35527638190954774,10,0.4,
25,0.4051838138058715,19,0.76,0.8405664687071721,11,0.44,
26,0.4112227805695142,18,0.72,0.8421273031825796,12,0.48,
27,0.38994974874371857,15,0.6,0.8421273031825796,12,0.48,
28,0.3852596314907873,15,0.6,0.8428506167199635,11,0.44,
29,0.38860971524288107,15,0.6,0.8428506167199635,11,0.44,
30,0.3852596314907873,15,0.6,0.8428506167199635,11,0.44,
31,0.3775544388609715,15,0.6,0.8509212730318257,12,0.48,
32,0.37154522613065327,16,0.64,0.8509212730318257,12,0.48,
33,0.3668341708542714,16,0.64,0.84376427592508,11,0.44,
34,0.3668341708542714,16,0.64,0.3631795340338054,11,0.44,0.3650068524440384
35,0.36997487437185933,16,0.64,0.8425460636515912,12,0.48,
36,0.340033500837521,12,0.48,0.841289782244556,12,0.48,
37,0.32914572864321606,12,0.48,0.841289782244556,12,0.48,
38,0.3301120989563201,13,0.52,0.841289782244556,12,0.48,
39,0.335910320834944,13,0.52,0.3659966499162479,12,0.48,
40,0.33417085427135684,12,0.48,0.37108620023192884,13,0.52,
41,0.33938925396211833,13,0.52,0.37108620023192884,13,0.52,
42,0.33740129217516157,14,0.56,0.3695400077309625,13,0.52,
43,0.33740129217516157,14,0.56,0.3695400077309625,13,0.52,
44,0.33740129217516157,14,0.56,0.3695400077309625,13,0.52,
45,0.33601340033500837,15,0.6,0.35987630459992265,13,0.52,0.34794485246746554
46,0.33668341708542715,16,0.64,0.35987630459992265,13,0.52,0.3482798608426749
47,0.3390481820869051,17,0.68,0.3596554199569275,14,0.56,0.3493518010219163
48,0.3357966302098729,17,0.68,0.3581239530988275,15,0.6,0.34696029165435016
49,0.33542713567839194,16,0.64,0.3537688442211056,15,0.6,0.3445979899497488
50,0.33845699083653563,17,0.68,0.3511306532663317,16,0.64,0.34479382205143366
51,0.33835845896147404,18,0.72,0.35619272834762045,17,0.68,0.34727559365454724
52,0.333245173234594,19,0.76,0.35772613065326636,16,0.64,0.3454856519439302
53,0.3340386141232478,19,0.76,0.36180904522613067,15,0.6,0.34792382967468927
54,0.3340386141232478,19,0.76,0.3596554199569275,14,0.56,0.3468470170400877
55,0.3409151018249141,19,0.76,0.36719310839913855,14,0.56,0.3540541051120263
56,0.34355990478709336,19,0.76,0.36719310839913855,14,0.56,0.3553765065931159
57,0.34701284198771637,18,0.72,0.36719310839913855,14,0.56,0.3571029751934275
58,0.3464380727165238,17,0.68,0.36575735821966976,14,0.56,0.35609771546809676
59,0.34338358458961477,18,0.72,0.31909547738693467,8,0.32,0.33123953098827474
60,0.3431865208394916,17,0.68,0.31909547738693467,8,0.32,0.33114099911321315
61,0.3431865208394916,17,0.68,0.31909547738693467,8,0.32,0.33114099911321315
62,0.3558417085427136,16,0.64,0.3672207189795129,13,0.52,0.36153121376111325
63,0.35678391959798994,15,0.6,0.3676072671047545,13,0.52,0.3621955933513722
64,0.3560660445082556,14,0.56,0.3652879783533049,13,0.52,0.36067701143078024
65,0.3574539363484087,15,0.6,0.359715242881072,12,0.48,0.3585845896147404
66,0.35410385259631494,15,0.6,0.359715242881072,12,0.48,0.35690954773869343
67,0.3587939698492463,15,0.6,0.36546368204659657,11,0.44,0.3621288259479214
68,0.3587939698492463,15,0.6,0.3592964824120603,12,0.48,0.35904522613065326
69,0.34614247709133905,17,0.68,0.3544646308465404,13,0.52,0.35030355396893975
70,0.34798994974874375,16,0.64,0.3540780827212988,13,0.52,0.3510340162350213
71,0.3480737018425461,15,0.6,0.3517587939698492,14,0.56,0.3499162479061977
72,0.3460157932519742,14,0.56,0.31044109436069234,9,0.36,
73,0.34789331271743335,13,0.52,0.3076493579006142,9,0.36,
74,0.34789331271743335,13,0.52,0.30932439977666104,9,0.36,
75,0.34634712021646696,13,0.52,0.29648241206030146,10,0.4,
76,0.34634712021646696,13,0.52,0.29648241206030146,10,0.4,
77,0.35253189022033243,13,0.52,0.29648241206030146,10,0.4,
78,0.35510887772194305,12,0.48,0.2987665600730927,11,0.44,
79,0.35343383584589616,12,0.48,0.2987665600730927,11,0.44,
80,0.34627683873915027,11,0.44,0.3015075376884422,12,0.48,
81,0.3375970762905436,11,0.44,0.29918824893699264,13,0.52,
82,0.3371021775544389,12,0.48,0.29918824893699264,13,0.52,
83,0.3371021775544389,12,0.48,0.30034789331271744,13,0.52,
84,0.34045226130653267,12,0.48,0.31721105527638194,16,0.64,0.32883165829145733
85,0.34045226130653267,12,0.48,0.31721105527638194,16,0.64,0.32883165829145733
86,0.34045226130653267,12,0.48,0.31721105527638194,16,0.64,0.32883165829145733
87,0.3362646566164154,12,0.48,0.31124371859296485,16,0.64,0.3237541876046901
88,0.3362646566164154,12,0.48,0.31124371859296485,16,0.64,0.3237541876046901
89,0.3362646566164154,12,0.48,0.30485762144053596,15,0.6,
90,0.3325719506624029,11,0.44,0.30485762144053596,15,0.6,0.3187147860514694
91,0.33065326633165826,10,0.4,0.30485762144053596,15,0.6,0.3177554438860971
92,0.3249581239530988,9,0.36,0.31048097631012206,14,0.56,0.31771955013161046
93,0.3246231155778895,10,0.4,0.3119443370699652,13,0.52,0.3182837263239273
94,0.3316582914572865,9,0.36,0.3132328308207705,12,0.48,0.3224455611390285
95,0.3306532663316583,10,0.4,0.3147555961626313,11,0.44,0.3227044312471448
96,0.3306532663316583,10,0.4,0.314070351758794,10,0.4,0.32236180904522616
97,0.3306532663316583,10,0.4,0.3121161362367393,9,0.36,0.3213847012841988
98,0.3306532663316583,10,0.4,0.3121859296482412,8,0.32,0.3214195979899498
99,0.3306532663316583,10,0.4,0.3103015075376885,8,0.32,0.3204773869346734
100,0.32663316582914576,9,0.36,0.8285873813512005,9,0.36,
101,0.32537688442211055,8,0.32,0.31658291457286436,7,0.28,0.32097989949748745
102,0.3234924623115578,8,0.32,0.31407035175879394,8,0.32,0.3187814070351759
103,0.3234924623115578,8,0.32,0.3129935391241924,7,0.28,0.31824300071787515
104,0.3194544149318019,7,0.28,0.31532663316582915,8,0.32,0.3173905240488155
105,0.3194544149318019,7,0.28,0.37920371086200233,13,0.52,
106,0.8621679827709979,7,0.28,0.3819095477386935,13,0.52,
107,0.8621679827709979,7,0.28,0.38298636037329503,14,0.56,
108,0.3249581239530988,6,0.24,0.38406317300789666,14,0.56,
109,0.323283082077052,6,0.24,0.447954055994257,7,0.28,
110,0.323283082077052,6,0.24,0.447954055994257,7,0.28,
111,0.36281407035175883,10,0.4,0.447954055994257,7,0.28,
112,0.38190954773869346,10,0.4,0.447954055994257,7,0.28,
113,0.38190954773869346,10,0.4,0.3837042354630294,14,0.56,0.38280689160086145
114,0.38190954773869346,10,0.4,0.3837042354630294,14,0.56,0.38280689160086145
115,0.39150296939241663,11,0.44,0.3837042354630294,14,0.56,0.387603602427723
116,0.39150296939241663,11,0.44,0.3785594639865997,15,0.6,0.3850312166895081
117,0.39150296939241663,11,0.44,0.3765494137353434,15,0.6,0.38402619156388
118,0.39150296939241663,11,0.44,0.3765494137353434,15,0.6,0.38402619156388
119,0.39150296939241663,11,0.44,0.37420435510887773,15,0.6,0.3828536622506472
120,0.39104613978985836,11,0.44,0.37420435510887773,15,0.6,0.38262524744936804
121,0.3844221105527638,12,0.48,0.37420435510887773,15,0.6,0.37931323283082075
122,0.37881716273676075,13,0.52,0.3628140703517588,15,0.6,0.37081561654425976
123,0.3743718592964824,14,0.56,0.3614949748743718,16,0.64,0.36793341708542715
124,0.3743718592964824,14,0.56,0.36515912897822445,15,0.6,0.36976549413735343
125,0.3743718592964824,14,0.56,0.3693467336683417,16,0.64,0.37185929648241206
126,0.32891731384193695,11,0.44,0.3599246231155779,16,0.64,
127,0.33115577889447234,10,0.4,0.3630653266331658,16,0.64,
128,0.33115577889447234,10,0.4,0.3548994974874372,16,0.64,0.3430276381909548
129,0.33115577889447234,10,0.4,0.35270100502512564,16,0.64,0.34192839195979896
130,0.33115577889447234,10,0.4,0.355213567839196,16,0.64,0.34318467336683417
131,0.3362265874828689,11,0.44,0.35845896147403694,15,0.6,0.3473427744784529
132,0.33302878026496113,11,0.44,0.3557071069633884,14,0.56,0.3443679436141748
133,0.3261306532663316,10,0.4,0.3636037329504666,14,0.56,
134,0.32663316582914576,9,0.36,0.3636037329504666,14,0.56,
135,0.32663316582914576,9,0.36,0.3636037329504666,14,0.56,
136,0.3121859296482412,8,0.32,0.3681742043551089,15,0.6,
137,0.3121859296482412,8,0.32,0.3732950466618808,14,0.56,
138,0.310999441652708,9,0.36,0.3208901651112706,7,0.28,0.31594480338198927
139,0.310999441652708,9,0.36,0.3208901651112706,7,0.28,0.31594480338198927
140,0.310999441652708,9,0.36,0.3208901651112706,7,0.28,0.31594480338198927
141,0.310999441652708,9,0.36,0.3232830820770519,6,0.24,0.31714126186487995
142,0.310999441652708,9,0.36,0.3232830820770519,6,0.24,0.31714126186487995
143,0.31211613623673923,9,0.36,0.3244795405599425,7,0.28,0.31829783839834086
144,0.31155778894472363,10,0.4,0.3244795405599425,7,0.28,0.3180186647523331
145,0.310999441652708,9,0.36,0.3244795405599425,7,0.28,0.31773949110632527
